Title, URL
e.g. 
Franklin D. Roosevelt, https://en.wikipedia.org/wiki/Franklin_D._Roosevelt
Donald Trump, https://en.wikipedia.org/wiki/Donald_Trump
Russia and United States relations, https://en.wikipedia.org/wiki/Russia%E2%80%93United_States_relations
Barack Obama, https://en.wikipedia.org/wiki/Barack_Obama
World War II, https://en.wikipedia.org/wiki/World_War_II
Allies of World War II, https://en.wikipedia.org/wiki/Allies_of_World_War_II
Attack on Pearl Harbor, https://en.wikipedia.org/wiki/Attack_on_Pearl_Harbor
Nazi Germany, https://en.wikipedia.org/wiki/Nazi_Germany
Adolf Hitler, https://en.wikipedia.org/wiki/Adolf_Hitler
Axis powers, https://en.wikipedia.org/wiki/Axis_powers
Treaty of Versailles, https://en.wikipedia.org/wiki/Treaty_of_Versailles
Same-sex marriage, https://en.wikipedia.org/wiki/Same-sex_marriage
Terrorism, https://en.wikipedia.org/wiki/Terrorism
World War II, https://en.wikipedia.org/wiki/World_War_II
Free trade, https://en.wikipedia.org/wiki/Free_trade
Korean War, https://en.wikipedia.org/wiki/Korean_War
Auschwitz, https://en.wikipedia.org/wiki/Auschwitz_concentration_camp
Battle of Midway, https://en.wikipedia.org/wiki/Battle_of_Midway
Atomic bombings of Hiroshima and Nagasaki, https://en.wikipedia.org/wiki/Atomic_bombings_of_Hiroshima_and_Nagasaki
 
